,Regime-Based,Equal-Weighted
Monthly Return,0.00967368167055918,0.009427227857562595
Monthly Volatility,0.050119225266521426,0.048149951479714063
Annual Return,0.1224640286013563,0.11918061779885636
Annual Volatility,0.17361808919520982,0.166796324689682
Sharpe Ratio,0.15897023847486358,0.1603534612708936
Annual Sharpe,0.5506890598596089,0.5554806841814318
Max Drawdown,-0.2311163232715275,-0.22915402858782524
Sortino Ratio,0.24166193397390281,0.21532145538160413
Annual Sortino,0.8371414957963101,0.7458954013612268
Information Ratio,0.016637559110607762,
Win Rate,0.6666666666666666,0.6436781609195402
Avg Up Month,0.03705809729016921,0.036457894788842655
Avg Down Month,-0.04509514956866089,-0.03940236401829815
